date,description
2021-01-01,元旦节
2021-01-04,全国人大常委会通过《民法典》草案
2021-01-11,中国疫情防控措施持续加强，部分地区封闭管理
2021-01-13,政协委员提案建议推动数字货币发展
2021-01-15,中国2020年GDP数据发布，增长2.3%
2021-01-20,国家统计局发布2020年经济分析报告
2021-01-26,证监会召开会议，讨论资本市场改革
2021-01-28,政府发布新一轮经济刺激政策
2021-01-31,多地发布春节假期安排，鼓励就地过年
2021-02-01,中央银行发布2021年货币政策工作会议强调保持流动性合理充裕。
2021-02-03,证监会发布《关于进一步提高上市公司质量的意见》，旨在加强上市公司治理。
2021-02-05,国家统计局发布1月份制造业PMI数据，显示制造业持续扩张。
2021-02-08,央行开展MLF操作，保持银行体系流动性合理充裕。
2021-02-10,证监会公布关于进一步推动资本市场对外开放的相关政策措施。
2021-02-18,国家统计局发布2020年中国经济年报，GDP同比增长2.3%。
2021-02-19,证监会对近期市场异常波动进行情况通报，强调增强市场稳定性。
2021-02-23,证监会发布《上市公司信息披露管理办法（修订征求意见稿）》，征求公众意见。
2021-02-25,央行召开货币政策委员会会议，强调要继续支持实体经济复苏。
2021-02-26,证监会宣布对某些违规行为进行处罚，以维护市场秩序。
2021-03-01,全国人大召开，讨论2021年政府工作报告。
2021-03-05,李克强总理在全国人大会议上作政府工作报告。
2021-03-10,全国政协会议闭幕，发布相关提案和建议。
2021-03-12,全国人大通过《十四五规划纲要》，确定发展目标。
2021-03-15,消费者权益日，多个部门联合发布消费警示。
2021-03-18,中国人民银行召开新闻发布会，介绍货币政策。
2021-03-20,国家统计局发布2月份经济数据，显示复苏趋势。
2021-03-25,证监会发布新规，推动资本市场健康发展。
2021-03-28,国家统计局发布3月份制造业PMI数据，显示持续扩张。
2021-03-31,央行发布数据，显示外汇储备保持稳定。
2021-04-01,全国人民代表大会常务委员会召开，讨论重要法律议案。
2021-04-05,国务院召开常务会议，部署促进消费的相关政策。
2021-04-10,国家统计局发布3月份经济数据，显示经济复苏加速。
2021-04-15,央行发布2021年一季度金融统计数据，分析货币政策走势。
2021-04-20,证监会发布新规，进一步完善资本市场基础制度。
2021-04-23,国家统计局发布4月份制造业PMI数据，显示持续扩张。
2021-04-25,工业和信息化部召开会议，推进数字经济发展。
2021-04-28,国家外汇管理局发布外汇市场运行情况分析。
2021-04-30,国务院发布《促进外贸稳增长的若干措施》。
2021-05-01,五一劳动节假期开始，国内旅游市场复苏。
2021-05-05,国家统计局发布4月份制造业PMI数据，显示经济增长势头良好。
2021-05-10,国务院召开会议，研究部署乡村振兴战略。
2021-05-15,央行发布金融统计数据，分析信贷投放情况。
2021-05-20,证监会发布关于进一步推动资本市场对外开放的新措施。
2021-05-25,国家统计局发布1季度GDP数据，经济同比增长18.3%。
2021-05-28,央行召开货币政策委员会会议，讨论货币政策调整。
2021-05-30,国家外汇管理局发布外汇市场运行情况及政策措施。
2021-06-01,全国人民代表大会召开，讨论国家重要法律和政策。
2021-06-05,国家统计局发布5月份制造业PMI数据，显示经济持续扩张。
2021-06-10,国务院召开会议，部署进一步推动科技创新的政策。
2021-06-15,央行发布2021年5月份金融统计数据，信贷增速放缓。
2021-06-20,证监会发布关于完善证券市场基础制度的通知。
2021-06-25,国家统计局发布6月份经济预警数据，显示经济回暖迹象。
2021-06-28,央行召开货币政策委员会会议，讨论货币政策方向。
2021-06-30,国家外汇管理局发布外汇储备数据，保持稳定。
2021-07-01,庆祝中国共产党成立100周年大会在北京举行。
2021-07-05,国家统计局发布6月份制造业PMI数据，显示经济继续扩张。
2021-07-10,国务院召开会议，部署下半年经济工作重点。
